Nummer;TAN;START;END;Interviewdauer [sec];Expected Language;STATUS;STATUS_TEXT;current_Q;Q1A1_1;Q1A2_1;Q1A3_1;Q1A4_1;Q1A5_1;Q1A6_1;Q1A7_1;Q1A8_1;Q1A9_1;Q1A10_1;Q2A1_1;Q2A2_1;Q2A3_1;Q2A4_1;Q2A5_1;Q2A6_1;Q2A7_1;Q2A8_1;Q2A9_1;Q2A10_1;Q3A1_1;Q3A2_1;Q3A3_1;Q3A4_1;Q3A5_1;Q3A6_1;Q3A7_1;Q3A8_1;Q3A9_1;Q3A10_1;Q4;Q5A1;Q5A2;Q5A3;Q5A4;Q5A5;Q5A6;Q5A7;Q5A8;Q5A9;Q6A1;Q6A2;Q6A3;Q6A4;Q6A5;Q6A6;Q6A7;Q6A8;Q7A1;Q8A1;Q9A1;Q10;Q11;Q12;Q13;HTTP_USER_AGENT;IP_START;IP_END;QUESTIONNAIRE;SURVEY;I_ID;interviewer_name;ST_ID;QUESTION_ORDER;I_SURVEY;redem_r;redem_gqs;redem_oes;redem_ts;redem_check_time
21;21;10.06.2025 09:13;10.06.2025 09:16;174;en;Teilbefragung;;8;Rarely;Daily;Never;Rarely;Never;Rarely;Rarely;Daily;1–2× per week;Never;Agree;Agree;Disagree;Agree;Strongly disagree;Disagree;Agree;Strongly disagree;Neutral;Strongly disagree;Never;Often;Rarely;Sometimes;Rarely;Often;Always;Sometimes;Rarely;Always;Flexitarian – I mostly avoid meat but eat it occasionally;Chicken;Cheese;Bacon or sausage;Eggs;Fish or seafood;Plant-based meat substitutes (e.g., tofu, tempeh);Milk or dairy products;Fruits;Leafy vegetables (e.g., spinach, kale);;;;;Animal welfare;;;;I eat the way I do because I prioritize my health and well-being. I try to consume a balanced diet to fuel my body and mind for my demanding job as a dentist. Additionally, I enjoy exploring different cuisines and flavors, which motivates me to cook and eat diverse meals.;;;;;;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36";24.134.96.217;;5;1;0;;0;,1,2,3,4,5,6,7;2___037c7aa8f3d122139da26c750ff2a6de_OVPRAXC;;;;;0
23;23;11.06.2025 15:43;11.06.2025 15:44;82;de;vollständige Befragung;;13;1–2× per week;Rarely;1–2× per week;Rarely;1–2× per week;1–2× per week;1–2× per week;Rarely;1–2× per week;1–2× per week;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Disagree;Never;Sometimes;Never;Rarely;Sometimes;Never;Sometimes;Rarely;Sometimes;Sometimes;Flexitarian – I mostly avoid meat but eat it occasionally;;Cheese;;Eggs;;Plant-based meat substitutes (e.g., tofu, tempeh);;;;Health and nutrition;Taste and enjoyment;;;;Environmental concerns;;;I was in a hurry;potatoas meat salad;yoghurt fruits;35–44;I live with children;Vocational training;I share cooking and shopping with others;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";217.91.17.29;217.91.17.29;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___f7888b869cfa8231d6d5d613585856de_OVPRAXC;84;94;70;-999;11.06.2025 15:44
24;24;12.06.2025 14:25;12.06.2025 14:46;706;en;vollständige Befragung;;13;Several times per day;Daily;Never;Never;3–5× per week;Several times per day;3–5× per week;Rarely;Rarely;1–2× per week;Disagree;Strongly agree;Neutral;Strongly disagree;Agree;Disagree;Neutral;Strongly agree;Strongly disagree;Disagree;Never;Sometimes;Often;Always;Always;Rarely;Sometimes;Never;Always;Sometimes;Flexitarian – I mostly avoid meat but eat it occasionally;;;;;;;Milk or dairy products;Fruits;;Health and nutrition;Taste and enjoyment;Convenience and speed;;Animal welfare;Environmental concerns;Religious or ethical beliefs;Habit or tradition;I eat mainly coz I like to keep my health on track. Also, try to cook at home more often for me and my kids, even though sometimes busy with work and all that.;Yes, I love pasta with a creamy sauce and chicken, it's one of my go-to dishes. Also, I'm a big fan of chocolate cake for dessert. Yummy!;I try to eat lot fruits and vegies, and cook from scratch at home. I also avoid junk food and sugary drinks.;35–44;I live with parents or other family members;No formal education;I share cooking and shopping with others;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36";109.40.51.117;109.40.51.117;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___a82157d3696d91d561dad1c6ac40b2a6_OVPRAXC;99;97;100;-999;12.06.2025 14:46
27;27;12.06.2025 17:36;12.06.2025 17:37;86;de;Redem® Prüfung Complete;;13;Never;Rarely;1–2× per week;1–2× per week;1–2× per week;3–5× per week;Daily;Several times per day;3–5× per week;1–2× per week;Strongly disagree;Disagree;Neutral;Disagree;Neutral;Agree;Disagree;Neutral;Strongly disagree;Neutral;Never;Rarely;Never;Sometimes;Sometimes;Rarely;Rarely;Often;Always;Often;Flexitarian – I mostly avoid meat but eat it occasionally;;;;Eggs;;Plant-based meat substitutes (e.g., tofu, tempeh);;Fruits;;;Taste and enjoyment;;Price and budget;;Environmental concerns;;;A healthy meal to me means a balanced combination of whole foods that nourish the body—lean proteins, plenty of vegetables, whole grains, and minimal processed ingredients.;I try to achieve this by cooking most meals myself, focusing on fresh produce and avoiding added sugars or artificial additives.;lean proteins, plenty of vegetables, whole grains, and minimal processed ingredients.;35–44;I live with parents or other family members;Secondary school;Someone else does most of the shopping/cooking;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";194.166.93.145;194.166.93.145;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___6f037a4da2b959e851986b76603f4274_OVPRAXC;;;;;0
28;28;13.06.2025 08:54;13.06.2025 08:56;75;en;Redem® Prüfung Complete;;13;3–5× per week;1–2× per week;1–2× per week;1–2× per week;1–2× per week;Rarely;3–5× per week;1–2× per week;Rarely;3–5× per week;Disagree;Strongly disagree;Strongly disagree;Disagree;Disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Disagree;Never;Rarely;Rarely;Never;Rarely;Rarely;Rarely;Rarely;Sometimes;Sometimes;Vegan – I avoid all animal products (no meat, dairy, eggs, etc.);;Cheese;;;Fish or seafood;;Milk or dairy products;;;;Taste and enjoyment;Convenience and speed;;Animal welfare;;;;I was very hungry;wheat product meat salad;yoghurt fruits;35–44;I live with children;Vocational training;I buy groceries and cook most of the time;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";217.91.17.29;217.91.17.29;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___f9be189a323fbc4cd7c68e07bc8c9b77_OVPRAXC;;;;;0
29;29;13.06.2025 08:58;13.06.2025 09:01;158;en;Redem® Prüfung Complete;;13;1–2× per week;Never;Rarely;1–2× per week;1–2× per week;Rarely;Rarely;1–2× per week;1–2× per week;1–2× per week;Strongly disagree;Disagree;Strongly disagree;Neutral;Disagree;Strongly disagree;Disagree;Neutral;Strongly disagree;Disagree;Never;Rarely;Rarely;Sometimes;Sometimes;Rarely;Sometimes;Sometimes;Never;Sometimes;Vegetarian – I don’t eat meat or fish, but I do eat dairy or eggs;;;Bacon or sausage;Eggs;;Plant-based meat substitutes (e.g., tofu, tempeh);;;;;;Convenience and speed;;Animal welfare;Environmental concerns;;;much sports;noodles slalad;fruits salad;35–44;I live with parents or other family members;Secondary school;I share cooking and shopping with others;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:139.0) Gecko/20100101 Firefox/139.0";217.91.17.29;217.91.17.29;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___e8616a2c538312b03b0b1caf9187511c_OVPRAXC;;;;;0
30;30;13.06.2025 09:05;13.06.2025 09:06;64;de;Screenout ReDem® Quality Check;;13;3–5× per week;Rarely;Rarely;1–2× per week;1–2× per week;Rarely;1–2× per week;1–2× per week;1–2× per week;1–2× per week;Disagree;Strongly disagree;Disagree;Disagree;Strongly disagree;Disagree;Strongly disagree;Strongly disagree;Disagree;Neutral;Sometimes;Never;Sometimes;Rarely;Rarely;Sometimes;Sometimes;Rarely;Sometimes;Sometimes;Pescatarian – I don’t eat meat, but I do eat fish and seafood;;Cheese;Bacon or sausage;;Fish or seafood;;;;;;Taste and enjoyment;;;Animal welfare;Environmental concerns;;;not much time;much calories;fruits yoghurt;25–34;I live with parents or other family members;High school diploma;I share cooking and shopping with others;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:139.0) Gecko/20100101 Firefox/139.0";217.91.17.29;217.91.17.29;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___fcb5be6118473fd4a59da1d91e5b2ee5_OVPRAXC;71;89;70;-999;13.06.2025 09:06
42;42;17.06.2025 18:23;17.06.2025 18:23;;en;Aufruf Fragebogen;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";80.121.55.6;;5;1;0;;0;;2___7584e27c5b26834329cac40a71366e2e_OVPRAXC;;;;;0
43;43;17.06.2025 18:26;17.06.2025 18:26;;de;Aufruf Fragebogen;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";80.121.55.6;;5;1;0;;0;;2___c173f0c0720b9d7799f914f239e29052_OVPRAXC;;;;;0
62;62;20.06.2025 10:29;20.06.2025 10:29;7;en;Teilbefragung;;7;Several times per day;Never;3–5× per week;1–2× per week;1–2× per week;Daily;Never;Daily;Rarely;1–2× per week;Neutral;Disagree;Strongly disagree;Agree;Disagree;Neutral;Strongly disagree;Neutral;Disagree;Strongly agree;Often;Always;Rarely;Often;Never;Rarely;Often;Rarely;Never;Sometimes;Flexitarian – I mostly avoid meat but eat it occasionally;Chicken;;;;;;;Fruits;;;Taste and enjoyment;;;Animal welfare;Environmental concerns;Religious or ethical beliefs;;;;;;;;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";24.134.96.217;;5;1;0;;0;,1,2,3,4,5,6;2___aeefacf536f1c233ff8cb074ce14ce68_OVPRAXC;;;;;0
64;64;23.06.2025 10:43;23.06.2025 10:44;50;en;Teilbefragung;;7;Never;Rarely;1–2× per week;Rarely;3–5× per week;3–5× per week;3–5× per week;1–2× per week;Daily;3–5× per week;Strongly disagree;Disagree;Disagree;Neutral;Agree;Strongly agree;Strongly agree;Disagree;Disagree;Strongly disagree;Never;Rarely;Rarely;Sometimes;Sometimes;Often;Sometimes;Rarely;Never;Never;Pescatarian – I don’t eat meat, but I do eat fish and seafood;Chicken;Cheese;Bacon or sausage;Eggs;Fish or seafood;Plant-based meat substitutes (e.g., tofu, tempeh);Milk or dairy products;Fruits;Leafy vegetables (e.g., spinach, kale);Health and nutrition;Taste and enjoyment;Convenience and speed;Price and budget;Animal welfare;Environmental concerns;Religious or ethical beliefs;Habit or tradition;;;;;;;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";193.154.125.63;;5;1;0;;0;,1,2,3,4,5,6;2___d73ea8ffaf7683cab0b362bdf2fa0602_OVPRAXC;;;;;0
65;65;23.06.2025 10:47;23.06.2025 10:49;159;de;vollständige Befragung;;13;Never;Rarely;1–2× per week;Rarely;Never;Rarely;1–2× per week;Rarely;Never;1–2× per week;Disagree;Disagree;Strongly disagree;Disagree;Disagree;Disagree;Strongly disagree;Disagree;Disagree;Strongly disagree;Never;Rarely;Sometimes;Often;Always;Often;Sometimes;Rarely;Never;Rarely;Vegan – I avoid all animal products (no meat, dairy, eggs, etc.);Chicken;Cheese;Bacon or sausage;Eggs;Fish or seafood;Plant-based meat substitutes (e.g., tofu, tempeh);Milk or dairy products;Fruits;Leafy vegetables (e.g., spinach, kale);Health and nutrition;Taste and enjoyment;Convenience and speed;Price and budget;Animal welfare;Environmental concerns;Religious or ethical beliefs;Habit or tradition;One of the main drivers behind my eating habits is supporting my physical and mental health.;A mix of quinoa and lentils, providing fiber, iron, and plant-based protein;The key to a healthy diet is to eat the right amount of calories for how active you are so you balance the energy you consume with the energy you use.;25–34;I live with children;Vocational training;I share cooking and shopping with others;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";193.154.125.63;193.154.125.63;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___47b5fed0a1aa46e03f6e336eb9f310cb_OVPRAXC;-999;;;-999;23.06.2025 10:49
